EmbryoNr;Measure;T-8;T-7;T-6;T-5;T-4;T-3;T-2;T-1;T0;T1;T2;T3;T4;T5;T6;T7;T8;T9;T10;T11;T12;T13;T14;T15;T16;T17;T18;T19;T20;T21;T22;T23
Emb1;Med1;NA;NA;NA;NA;2.69;2.78;2.86;3.03;3.36;3.64;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
Emb2;Med1;NA;NA;NA;1.63;1.75;1.91;2.09;2.26;2.5;2.7;2.85;3.06;3.22;3.32;3.54;3.64;3.7;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
Emb3;Med1;NA;NA;NA;NA;NA;NA;NA;3.24;3.64;3.52;3.37;3.4;3.48;3.54;3.76;4.07;4.24;4.37;4.5;4.7;4.77;4.82;5;5.16;5.35;5.43;5.59;5.78;5.89;6.12;6.16;6.23
Emb4;Med1;NA;NA;2.49;2.92;2.9;2.86;2.88;2.89;3.06;3.22;3.23;3.41;3.62;3.72;3.98;4.21;4.63;4.76;4.96;5.12;5.28;5.41;5.58;5.59;5.65;5.74;5.83;NA;NA;NA;NA;NA
Emb5;Med1;2.32;2.45;2.47;2.57;2.62;2.76;2.92;3.03;3.32;3.81;4.07;4.29;4.57;4.61;4.72;5.23;5.5;5.79;5.88;6.07;6.19;6.3;6.39;6.53;6.57;6.74;6.71;6.75;NA;NA;NA;NA
Emb6;Med1;NA;2.61;2.72;2.65;2.76;2.8;2.8;2.91;3.07;3.25;3.43;3.69;3.79;3.56;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
Emb7;Med1;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;3.84;3.84;3.92;3.8;4.01;4.33;4.59;4.82;5.07;5.31;5.43;5.59;5.78;5.95;6.1;6.26;6.45;6.61;6.83;7.03;NA
Emb8;Med1;NA;NA;NA;NA;NA;NA;2.64;2.69;2.84;2.99;3.12;3.37;3.72;4.38;4.59;4.91;4.97;4.89;4.92;5.2;5.41;5.57;5.75;5.88;6.07;6.19;6.31;6.49;6.7;6.88;7.05;NA
Emb9;Med1;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;3.61;3.86;4.33;4.44;4.66;4.96;5.2;5.37;5.65;5.9;6.14;NA;NA;NA;NA;NA;NA;NA;NA
Emb10;Med1;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;4.11;4.17;4.32;4.45;4.7;4.83;5.02;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
